Id_aktywacji;Data_aktywacji;FK_Wizyta;FK_Promocja
1;2024-01-07 20:30:47;4;12
2;2024-04-20 13:28:06;7;20
3;2024-03-21 05:21:40;8;13
4;2024-05-02 09:48:51;9;17
5;2024-01-26 19:32:12;14;3
6;2024-06-15 13:03:16;15;12
7;2024-05-28 02:11:08;18;18
8;2024-03-27 03:34:29;20;18
9;2024-03-11 16:17:01;21;11
10;2024-05-16 05:08:20;24;20
11;2024-01-21 21:41:47;34;11
12;2024-05-27 11:50:03;35;17
13;2024-06-13 05:57:55;36;17
14;2024-03-15 06:50:15;37;4
15;2024-04-11 09:18:01;40;20
16;2024-02-03 03:42:06;42;11
17;2024-02-19 13:42:07;49;18
18;2024-05-20 07:06:24;50;11
19;2024-01-09 13:55:35;51;18
20;2024-06-19 16:14:06;56;11
21;2024-01-29 21:38:45;64;11
22;2024-03-18 09:55:08;69;5
23;2024-02-15 16:36:59;80;1
24;2024-04-13 04:01:04;83;3
25;2024-06-03 22:16:40;86;10
26;2024-03-12 05:03:58;88;11
27;2024-02-07 04:38:48;93;11
28;2024-04-01 06:30:01;94;18
29;2024-05-12 18:18:26;96;12
30;2024-01-05 11:02:49;98;11
31;2024-03-06 12:39:44;101;2
32;2024-06-27 12:32:46;102;20
33;2024-01-20 12:33:59;103;16
34;2024-05-15 12:35:21;106;7
35;2024-03-03 15:01:28;107;18
36;2024-03-07 01:48:27;108;20
37;2024-02-03 14:33:06;111;16
38;2024-02-26 15:27:26;115;16
39;2024-06-05 20:48:16;120;1
40;2024-05-08 12:21:25;122;17
41;2024-06-19 07:46:50;126;2
42;2024-03-17 10:34:31;128;18
43;2024-05-29 20:18:27;129;8
44;2024-03-24 22:45:37;132;4
45;2024-03-18 08:24:57;135;10
46;2024-02-02 02:37:16;137;17
47;2024-04-05 13:23:18;141;8
48;2024-02-14 16:53:53;147;14
49;2024-03-20 15:35:18;150;13
50;2024-06-27 01:09:11;157;1
51;2024-01-13 02:38:13;158;15
52;2024-02-07 10:14:57;159;10
53;2024-03-13 23:24:41;160;18
54;2024-06-22 06:14:54;162;8
55;2024-05-08 22:44:53;164;3
56;2024-03-23 13:40:40;167;20
57;2024-04-02 04:56:14;168;17
58;2024-05-06 03:44:08;173;20
59;2024-06-18 01:08:46;174;5
60;2024-06-26 02:43:13;175;7
61;2024-02-19 05:06:56;177;11
62;2024-03-11 21:40:58;180;20
63;2024-04-29 17:01:00;182;4
64;2024-06-14 08:25:22;189;20
65;2024-05-19 03:00:27;190;7
66;2024-06-01 19:05:13;204;8
67;2024-06-02 00:55:27;205;15
68;2024-05-02 06:02:57;209;5
69;2024-06-11 21:34:31;212;6
70;2024-05-12 00:18:03;216;16
71;2024-03-02 17:29:18;217;4
72;2024-05-18 10:14:15;222;17
73;2024-06-13 14:05:03;224;16
74;2024-03-04 09:11:11;228;7
75;2024-01-25 05:32:30;235;6
76;2024-04-24 08:10:45;239;11
77;2024-02-14 12:07:26;242;9
78;2024-01-25 17:00:56;243;12
79;2024-01-26 02:50:35;245;13
80;2024-02-23 22:05:38;253;8
81;2024-04-16 06:33:54;257;4
82;2024-03-07 14:56:56;261;11
83;2024-04-17 23:21:00;264;17
84;2024-02-25 02:24:51;268;19
85;2024-04-01 19:34:13;272;10
86;2024-05-09 01:57:55;274;1
87;2024-04-17 22:13:35;275;5
88;2024-04-20 00:17:12;277;10
89;2024-03-15 18:56:38;281;17
90;2024-05-24 20:03:54;285;12
91;2024-03-13 19:57:01;288;8
92;2024-04-06 16:52:41;289;18
93;2024-02-20 20:46:44;291;9
